Game Number,Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
134,A Hat In Time,PC,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
135,Shadows of Adam,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
136,Graceful Explosion Machine,PC PS4 NSW,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
137,Everybody's Golf,PS4,Sony,Sports,0,0,0,0,0,0,0,0,0,0,0,0
138,Embers of Mirrim,PC PS4 XBO,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
139,Linelight,PC PS4 iOS,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
140,Aven Colony,PC PS4 XBO,Other,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
141,The Elder Scrolls Online: Morrowind,PC PS4 XBO,Bethesda,RPG,0,0,0,0,0,0,0,0,0,0,0,0
142,Figment,PC,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
143,The Escapists 2,PC PS4 XBO,Other,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
144,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,PS4 XBO,Bandai Namco,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
145,Outlast 2,PC PS4 XBO,Other,Horror,0,0,0,0,0,0,0,0,0,0,0,0
146,Herald: An Interactive Period Drama,PC,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
147,Dungeons 3,PC PS4 XBO,Other,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
148,ARMS,NSW,Nintendo,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
149,Marvel vs. Capcom: Infinite,PC PS4 XBO,Capcom,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
150,Mary Skelter: Nightmares,VITA,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
151,Cosmic Star Heroine,PC PS4,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
152,Old Man's Journey,PC iOS,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
153,Portal Knights,PC PS4 XBO,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
154,NHL 18,PS4 XBO,EA,Sports,0,0,0,0,0,0,0,0,0,0,0,0
155,The Long Dark,PC PS4 XBO,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
156,Tokuiden 2,PC PS4 VITA,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
157,Warhammer 40000: Dawn of War III,PC,SEGA,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
158,LawBreakers,PC PS4,Other,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
159,Dragon Quest Heroes II,PC PS4,Square-Enix,RPG,0,0,0,0,0,0,0,0,0,0,0,0
160,The LEGO NINJAGO Movie Video Game,PC PS4 XBO NSW,WB,Action,0,0,0,0,0,0,0,0,0,0,0,0
161,Chaos-Child,PS4 VITA,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
162,Secret World Legends,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
163,Master X Master,PC,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
164,Gran Turismo Sport,PS4,Sony,Racing,0,0,0,0,0,0,0,0,0,0,0,0
165,Late Shift,PC PS4 XBO,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
166,The Golf Club 2,PC PS4 XBO,Other,Sports,0,0,0,0,0,0,0,0,0,0,0,0
167,Ever Oasis,3DS,Nintendo,RPG,0,0,0,0,0,0,0,0,0,0,0,0
168,Mighty Gunvolt Burst,NSW 3DS,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
169,Tom Clancy's Ghost Recon Wildlands,PC PS4 XBO,Ubisoft,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
170,Last Day of June,PC PS4,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
171,Gigantic,PC XBO,Other,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
172,Serious Sam's Bogus Detour,PC,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
173,Mass Effect: Andromeda,PC PS4 XBO,EA,RPG,0,0,0,0,0,0,0,0,0,0,0,0
174,Crawl,PC PS4 XBO,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
175,Diablo III: Rise of the Necromancer,PC PS4 XBO,Activision Blizzard,RPG,0,0,0,0,0,0,0,0,0,0,0,0
176,Absolver,PC PS4,Other,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
177,Infinite Minigolf,PC PS4 XBO NSW,Other,Sports,0,0,0,0,0,0,0,0,0,0,0,0
178,Rick and Morty Simulator: Virtual Rick-ality,PC,Other,VR Adventure,0,0,0,0,0,0,0,0,0,0,0,0
179,Future Unfolding,PC PS4,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
180,Ruiner,PC PS4 XBO,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
181,Unit 4,PC XBO,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
182,Stars In Shadow,PC,Other,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
183,Fire Emblem Warriors,NSW 3DS,Koei Tecmo,Action,0,0,0,0,0,0,0,0,0,0,0,0
184,Utawarerumono: Mask of Truth,PS4,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
185,A Rose in the Twilight,PC VITA,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
186,Get Even,PC PS4 XBO,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
187,The Darkside Detective,PC,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
188,Megaton Rainfall,PS4,Other,VR Action,0,0,0,0,0,0,0,0,0,0,0,0
189,Yooka Laylee,PC PS4 XBO,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
190,Call of Duty: WWII,PC PS4 XBO,Activision Blizzard,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
191,Star Wars Battlefront II,PC PS4 XBO,EA,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
192,Bubsy: The Woolies Strike Back,PC PS4,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
193,Sonic Forces,PC PS4 XBO NSW,SEGA,Action,0,0,0,0,0,0,0,0,0,0,0,0
194,Pokemon Ultra Sun/Ultra Moon,3DS,Nintendo,RPG,0,0,0,0,0,0,0,0,0,0,0,0
195,Mario Party: The Top 100,3DS,Nintendo,Action,0,0,0,0,0,0,0,0,0,0,0,0
196,The Inpatient,PS4,Other,Horror,0,0,0,0,0,0,0,0,0,0,0,0
197,Fire Emblem Heroes,iOS AND,Nintendo,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
198,Animal Crossing: Pocket Camp,iOS AND,Nintendo,Simulator,0,0,0,0,0,0,0,0,0,0,0,0
199,Xenoblade Chronicles 2,NSW,Nintendo,RPG,0,0,0,0,0,0,0,0,0,0,0,0
200,SpellForce 3,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
201,Hello Neighbor,PC XBO,Other,Horror,0,0,0,0,0,0,0,0,0,0,0,0
202,ARK: Survival Evolved,PC PS4 XBO,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
203,Hey! Pikmin,3DS,Nintendo,Action,0,0,0,0,0,0,0,0,0,0,0,0
204,Miitopia,3DS,Nintendo,RPG,0,0,0,0,0,0,0,0,0,0,0,0
205,Metroid: Samus Returns,3DS,Nintendo,Action Remake,0,0,0,0,0,0,0,0,0,0,0,0
206,Mario Kart 8 Deluxe,NSW,Nintendo,Racing Remake,0,0,0,0,0,0,0,0,0,0,0,0
207,Poochy and Yoshi's Woolly World,3DS,Nintendo,Action Remake,0,0,0,0,0,0,0,0,0,0,0,0
208,Bulletstorm: Full Clip Edition,PC PS4 XBO,Other,Action Remake,0,0,0,0,0,0,0,0,0,0,0,0
209,Rocket League,NSW,Other,Sports Remake,0,0,0,0,0,0,0,0,0,0,0,0
210,Doom,NSW,Bethesda,Shooter Remake,0,0,0,0,0,0,0,0,0,0,0,0
211,LA Noir,PS4 XBO NSW,Take Two,Action Remake,0,0,0,0,0,0,0,0,0,0,0,0
212,Stardew Valley,NSW,Other,Simulation Remake,0,0,0,0,0,0,0,0,0,0,0,0
213,Doom VFR,PC,Bethesda,VR Shooter Remake,0,0,0,0,0,0,0,0,0,0,0,0
214,Fallout 4 VR,PC,Bethesda,VR RPG Remake,0,0,0,0,0,0,0,0,0,0,0,0
215,The Elder Scrolls V: Skyrim,NSW,Bethesda,RPG Remake,0,0,0,0,0,0,0,0,0,0,0,0
216,The Elder Scrolls V: Skyrim VR,PC PS4,Bethesda,VR RPG Remake,0,0,0,0,0,0,0,0,0,0,0,0
217,PLAYERUNKNOWN'S BATTLEGROUNDS,PC XBO,Bluehole,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
218,Super Lucky's Tale,PC XBO,Microsoft,Action,0,0,0,0,0,0,0,0,0,0,0,0
219,Just Dance 2018,PS4 PS3 XBO 360 WII WIIU NSW,Ubisoft,Rhythm,0,0,0,0,0,0,0,0,0,0,0,0
220,Monument Valley 2,iOS AND,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
221,Flipping Legend,iOS AND,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
222,Iron Marines,iOS AND,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
223,Yankai's Peak,iOS AND PC,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
224,Motorsport Manager Mobile 2,iOS AND,Other,Simulation,0,0,0,0,0,0,0,0,0,0,0,0
225,FROST,iOS AND,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
226,Miles and Kilo,iOS,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
227,SPACEPLAN,iOS PC,Other,Simulation,0,0,0,0,0,0,0,0,0,0,0,0
228,Battle Bay,iOS AND,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
229,Hidden Folks,iOS PC,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
230,DropMix,iOS AND,Other,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
231,Miracle Merchant,iOS AND,Other ,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
232,FRAMED 2,iOS AND,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
233,Vignettes,iOS,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
234,Causality,iOS PC,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
235,TypeShift,iOS,Other,Puzzle ,0,0,0,0,0,0,0,0,0,0,0,0
236,Card Thief,iOS AND,Other,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
237,Fighting Fantasy Legends,PC iOS AND,Other,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
238,Arkanoid vs Space Invaders,iOS AND,Square-Enix,Action,0,0,0,0,0,0,0,0,0,0,0,0
239,The Big Journey,iOS AND,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
240,MUL.MASH.TAB.BA.GAL.GAL,iOS,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
241,Splitter Critters,iOS AND,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
242,Ticket to Earth,iOS PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
243,Campfire Cooking,iOS PC,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
244,Golf Zero,iOS AND,Other,Sports,0,0,0,0,0,0,0,0,0,0,0,0
245,Jaipur: A Card Game of Duals,iOS AND,Other,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
246,A Normal Lost Phone,iOS AND PC,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
247,SIMULACRA,iOS AND PC,Other,Horror,0,0,0,0,0,0,0,0,0,0,0,0
248,Stranger Things: The Game,iOS AND,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
249,Miss Fisher and the Deathly Maze - Ep. 1,iOS,Other ,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
250,Warlock's Tower,iOS AND PC,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
251,Super Phantom Cat 2,iOS AND,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
252,Another Lost Phone: Laura's Story,iOS AND PC,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
253,Yu-Gi-Oh! Duel Links,iOS AND,Konami,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
254,Red's Kingdom,iOS PC,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
255,KAMI 2,iOS AND,Other,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
256,REKT!,iOS AND,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
257,Star Wars: Force Arena,iOS AND,Other,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
258,Injustice 2 Mobile,iOS AND,WB,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
259,Resynth,iOS,Other,Rhythm,0,0,0,0,0,0,0,0,0,0,0,0
260,Milkmaid of the Milky Way,iOS AND PC,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
261,Galaxy of Pen and Paper,iOS AND PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
262,Missile Cards,iOS PC,Other,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
263,CATS: Crash Arena Turbo Stars,iOS AND,Other,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
264,Get Me Outta Here,iOS,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
265,Sonny,iOS AND PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
266,Battlejack,iOS PC,Other,Board+Card,0,0,0,0,0,0,0,0,0,0,0,0
267,Stagehand: A Reverse Platformer,iOS,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
268,Evil Factory,iOS AND,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
269,Morphite,PC PS4 XBO NSW iOS,Other,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
270,Dragonball Xenoverse 2,NSW,Bandai Namco,Fighter Remake,0,0,0,0,0,0,0,0,0,0,0,0
